	serie0:0	serie0:1	serie0:2	serie0:3	serie0:4	serie0:5	serie0:6	serie0:7	serie0:8	serie0:9	serie0:10	serie0:11	serie0:12	serie0:13	serie0:14	serie0:15	serie0:16	serie0:17	serie0:18	serie0:19	serie0:20	serie0:21	serie0:22	serie0:23	serie0:24	serie1:0	serie1:1	serie1:2	serie1:3	serie1:4	serie1:5	serie1:6	serie1:7	serie1:8	serie1:9	serie1:10	serie1:11	serie1:12	serie1:13	serie1:14	serie1:15	serie1:16	serie1:17	serie1:18	serie1:19	serie1:20	serie1:21	serie1:22	serie1:23	serie1:24	serie2:0	serie2:1	serie2:2	serie2:3	serie2:4	serie2:5	serie2:6	serie2:7	serie2:8	serie2:9	serie2:10	serie2:11	serie2:12	serie2:13	serie2:14	serie2:15	serie2:16	serie2:17	serie2:18	serie2:19	serie2:20	serie2:21	serie2:22	serie2:23	serie2:24	serie3:0	serie3:1	serie3:2	serie3:3	serie3:4	serie3:5	serie3:6	serie3:7	serie3:8	serie3:9	serie3:10	serie3:11	serie3:12	serie3:13	serie3:14	serie3:15	serie3:16	serie3:17	serie3:18	serie3:19	serie3:20	serie3:21	serie3:22	serie3:23	serie3:24	serie4:0	serie4:1	serie4:2	serie4:3	serie4:4	serie4:5	serie4:6	serie4:7	serie4:8	serie4:9	serie4:10	serie4:11	serie4:12	serie4:13	serie4:14	serie4:15	serie4:16	serie4:17	serie4:18	serie4:19	serie4:20	serie4:21	serie4:22	serie4:23	serie4:24	serie5:0	serie5:1	serie5:2	serie5:3	serie5:4	serie5:5	serie5:6	serie5:7	serie5:8	serie5:9	serie5:10	serie5:11	serie5:12	serie5:13	serie5:14	serie5:15	serie5:16	serie5:17	serie5:18	serie5:19	serie5:20	serie5:21	serie5:22	serie5:23	serie5:24	serie6:0	serie6:1	serie6:2	serie6:3	serie6:4	serie6:5	serie6:6	serie6:7	serie6:8	serie6:9	serie6:10	serie6:11	serie6:12	serie6:13	serie6:14	serie6:15	serie6:16	serie6:17	serie6:18	serie6:19	serie6:20	serie6:21	serie6:22	serie6:23	serie6:24	serie7:0	serie7:1	serie7:2	serie7:3	serie7:4	serie7:5	serie7:6	serie7:7	serie7:8	serie7:9	serie7:10	serie7:11	serie7:12	serie7:13	serie7:14	serie7:15	serie7:16	serie7:17	serie7:18	serie7:19	serie7:20	serie7:21	serie7:22	serie7:23	serie7:24	serie8:0	serie8:1	serie8:2	serie8:3	serie8:4	serie8:5	serie8:6	serie8:7	serie8:8	serie8:9	serie8:10	serie8:11	serie8:12	serie8:13	serie8:14	serie8:15	serie8:16	serie8:17	serie8:18	serie8:19	serie8:20	serie8:21	serie8:22	serie8:23	serie8:24	serie9:0	serie9:1	serie9:2	serie9:3	serie9:4	serie9:5	serie9:6	serie9:7	serie9:8	serie9:9	serie9:10	serie9:11	serie9:12	serie9:13	serie9:14	serie9:15	serie9:16	serie9:17	serie9:18	serie9:19	serie9:20	serie9:21	serie9:22	serie9:23	serie9:24
x0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	1	1	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x3	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	0	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	1	0	1	1	0	1	1	0	0	1	1	0	1	0	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	0	1	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x5	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	0	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	1	1	0	1	0	1	1	1	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
x8	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x9	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
